Key	Usage	en	it	es	fr	de	ja	ko	pt	ru	pl	zh
	Notes - Field usage	INGLESE	ITALIANO 	SPAGNOLO	FRANCESE	TEDESCO	GIAPPONESE	한국어 COREANO	PORTOGHESE	RUSSO	POLACCO	CINESE
ScreenTitle_MyAccounts		MY ACCOUNTS	I MIEI ACCOUNT 	Mis cuentas	Mes comptes	Meine Konten	マイアカウント	내 계정	Minhas contas 	МОИ УЧЕТНЫЕ ЗАПИСИ	MOJE KONTA	我的账户
ScreenTitle_AccountManagement		ACCOUNT MANAGEMENT	GESTIONE DELL'ACCOUNT 	Gestión de cuentas	Gestion du compte	KONTOVERWALTUNG	設定	계정관리	Gestão das contas	УПРАВЛЕНИЕ УЧЕТНЫМИ ЗАПИСЯМИ	ZARZĄDZANIE KONTEM	账户管理
ScreenTitle_SelectLanguage		SELECT LANGUAGE	SELEZIONA LA TUA LINGUA 	Seleccione el idioma	SÉLECTIONNER UNE LANGUE	WÄHLEN SIE IHRE SPRACHE	言語設定	언어선택	Selecione a sua língua	ВЫБРАТЬ ЯЗЫК	WYBIERZ JĘZYK	选择语言
ScreenTitle_DownloadPackage		DOWNLOAD PACKAGE	SCARICA IL PACCHETTO 	Descargar paquete	TÉLÉCHARGEMENT DE TOUS LES FICHIERS	PAKET HERUNTERLADEN	ダウンロードパッケージ	패키지 다운로드	Baixar pacote 	СКАЧАТЬ ПАКЕТ	POBIERZ PAKIET	下载旅游包
BtnTitle_Login		LOGIN	ACCEDI	INICIAR SESIÓN	IDENTIFICATION	ANMELDEN	ログイン	로그인	Entrar	ВХОД	ZALOGUJ	登录
BtnTitle_Skip		Skip	Salta 	Saltar	Ignorer	Überspringen	スキップ	건너뛰기	Pular	ПРОПУСТИТЬ	Pomiń	跳过
BtnTitle_Logout		Logout	Termina la sessione 	Cerrar sesión	Déconnexion	Abmelden	ログアウト	로그이웃	Sair	ВЫХОД	Wyloguj	退出
BtnTitle_Map		MAP	MAPPA 	MAPA	CARTE	KARTE	マップ	지도	Mapa	КАРТА	MAPA	地图
BtnTitle_Allow		Allow	Autorizza 	Permitir	Autoriser	Erlauben	承諾	허용	Permitir	РАЗРЕШИТЬ	Zezwόl	允许
BtnTitle_Cancel		Cancel	Cancella   	Cancelar	Supprimer	Löschen	キャンセル	취소	Cancelar	ОТМЕНА	Skasuj	取消
BtnTitle_Continue		Continue	Continua 	Continuar	Continuer	Weiter	次へ	계속	Continuar	ПРОДОЛЖИТЬ	Kontynuuj	继续
BtnTitle_Yes		Yes	Sì  	Si	Oui	JA	はい	예	Sim	ДА	Tak	是
BtnTitle_No		No	No 	No	Non	NEIN	いいえ	아니요	Não	НЕТ	Nie	否
